type,priority,action,category,title,url,publishedDate,sourceFile,googleStatus,naverStatus,bingStatus,lastRequestedAt,result,notes
STATIC,NORMAL,SITEMAP_ONLY,STATIC,"홈","https://www.pageoneworks.com",,app/sitemap.ts,PENDING,PENDING,PENDING,,,
STATIC,NORMAL,SITEMAP_ONLY,STATIC,"아카이브","https://www.pageoneworks.com/archive",,app/sitemap.ts,PENDING,PENDING,PENDING,,,
STATIC,NORMAL,SITEMAP_ONLY,STATIC,"광고 문의","https://www.pageoneworks.com/advertise",,app/sitemap.ts,PENDING,PENDING,PENDING,,,
STATIC,NORMAL,SITEMAP_ONLY,STATIC,"소개","https://www.pageoneworks.com/about",,app/sitemap.ts,PENDING,PENDING,PENDING,,,
STATIC,NORMAL,SITEMAP_ONLY,STATIC,"커뮤니티","https://www.pageoneworks.com/community",,app/sitemap.ts,PENDING,PENDING,PENDING,,,
STATIC,NORMAL,SITEMAP_ONLY,STATIC,"공지사항","https://www.pageoneworks.com/notice",,app/sitemap.ts,PENDING,PENDING,PENDING,,,
STATIC,NORMAL,SITEMAP_ONLY,STATIC,"개인정보처리방침","https://www.pageoneworks.com/privacy",,app/sitemap.ts,PENDING,PENDING,PENDING,,,
STATIC,NORMAL,SITEMAP_ONLY,STATIC,"이용약관","https://www.pageoneworks.com/terms",,app/sitemap.ts,PENDING,PENDING,PENDING,,,
STATIC,NORMAL,SITEMAP_ONLY,STATIC,"쿠키 정책","https://www.pageoneworks.com/cookie",,app/sitemap.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,vitality,"의료·안티에이징","https://www.pageoneworks.com/category/vitality",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,properties,"프리미엄 부동산","https://www.pageoneworks.com/category/properties",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,drive-tech,"모빌리티·AI·IT","https://www.pageoneworks.com/category/drive-tech",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,legal-finance,"세무·법률·자산","https://www.pageoneworks.com/category/legal-finance",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,lifestyle-travel,"라이프·여행·골프","https://www.pageoneworks.com/category/lifestyle-travel",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,beauty-wellness,"뷰티·피부·성형","https://www.pageoneworks.com/category/beauty-wellness",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,food-dining,"미식·레스토랑·와인","https://www.pageoneworks.com/category/food-dining",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,education,"교육·유학·자격증","https://www.pageoneworks.com/category/education",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,sports-health,"스포츠·헬스","https://www.pageoneworks.com/category/sports-health",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,culture-art,"문화·예술","https://www.pageoneworks.com/category/culture-art",,lib/data.ts,PENDING,PENDING,PENDING,,,
